Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,NYK,NBA,PG,72,26,21.4,3.2,7.8,.407,0.8,2.0,.397,2.1,2.8,.752,0.8,1.5,2.3,2.0,0.8,0.0,1.6,2.8,9.3
2006-07,22,NYK,NBA,PG,64,5,21.2,3.5,8.2,.434,1.3,3.3,.390,1.7,2.2,.777,0.9,1.5,2.4,1.4,0.8,0.1,1.1,2.5,10.1
2007-08,23,NYK,NBA,PG,72,17,26.2,4.6,10.9,.423,1.3,4.1,.332,2.1,2.7,.786,0.7,2.4,3.1,2.9,0.8,0.0,1.4,2.6,12.7
2008-09,24,NYK,NBA,PG,74,11,29.9,6.1,13.9,.437,1.7,5.2,.325,3.4,4.0,.841,1.3,2.6,3.9,4.1,1.3,0.1,1.9,2.8,17.2
2009-10,25,TOT,NBA,PG,56,2,19.9,3.8,8.8,.436,1.6,4.0,.390,0.9,1.2,.746,0.5,1.5,2.0,2.9,0.9,0.1,1.3,2.1,10.1
2009-10,25,NYK,NBA,PG,30,2,24.4,5.1,11.2,.452,1.7,4.5,.375,1.4,1.8,.778,0.8,1.6,2.4,3.7,0.9,0.2,1.8,2.2,13.2
2009-10,25,BOS,NBA,PG,26,0,14.7,2.4,6.0,.401,1.4,3.3,.414,0.3,0.5,.615,0.2,1.3,1.5,2.0,0.8,0.0,0.8,1.9,6.5
2010-11,26,TOT,NBA,PG,59,11,17.2,2.5,6.4,.399,1.1,3.4,.325,0.6,0.7,.818,0.3,1.3,1.5,1.9,0.5,0.1,1.2,1.9,6.8
2010-11,26,BOS,NBA,PG,55,11,17.9,2.7,6.6,.404,1.1,3.5,.328,0.6,0.7,.825,0.3,1.3,1.6,1.9,0.5,0.1,1.2,1.9,7.1
2010-11,26,OKC,NBA,PG,4,0,7.5,1.0,3.8,.267,0.5,2.0,.250,0.8,1.0,.750,0.0,0.3,0.3,1.5,0.0,0.0,0.5,2.0,3.3
2011-12,27,GSW,NBA,PG,51,9,23.4,4.0,9.5,.424,1.3,3.5,.365,1.8,2.2,.832,0.3,1.7,2.0,4.5,1.2,0.0,1.5,2.3,11.2
2012-13,28,CHI,NBA,PG,82,23,25.4,4.9,11.2,.433,1.7,4.2,.405,1.6,2.1,.799,0.4,1.9,2.2,4.4,1.0,0.1,1.8,2.5,13.1
Career,,,NBA,,530,104,23.4,4.2,9.8,.427,1.4,3.8,.363,1.8,2.3,.798,0.7,1.8,2.5,3.0,0.9,0.1,1.5,2.5,11.5
