Company Name,Subindustry,Sub Subindustry,Phone,Website,Location 1
Al Hirschfeld Theater,Theater,League,(212) 239-6200,,
The World Famous Laugh Factory,Comedy Club,,212-586-7829 x304,,
Bernard B. Jacobs Theatre,Theater,League,(212) 239-2820,,
Music Box Theater,Theater,League,212 239-6200,,
Helen Hayes Theatre,Theater,League,(212) 944-9457,,
Touch Nightclub,Nightclub,,212 489-7656,,
Hawthorne Amusement,Attractions / Amusement,,,,
Regal Loews Cinemas 42nd Street E-Walk Theater,Movies,,(212) 840-7761,www.regmovies.com,
Jujamcyn Theater,Theater,League,(212) 840-8181,,
St. James Theatre,Theater,League,(212) 239-6200,,
Imperial Theatre,Theater,League,(815) 477-5076,,
Cheetahs,Nightclub,,(212) 819-9300,www.cheetahnyc.com,
Brooks Atkinson Theatre,Theater,League,(212) 719-4099,http://www.brooksatkinsontheater.com/,
Freidman Theatre,Theater,Broadway - Non-League,(212) 399-3000 x 5401,,
Lyceum Theater,Theater,League,212 239-6200,,
Ripley's Believe It Or Not!,Attractions / Amusement,,212-398-3133,www.ripleysnewyork.com,
Shubert Theatre,Theater,League,2129443700,,
St Luke's Theater,Theater,Off-Broadway,(212) 246-8140,http://stlukestheatre.com/,
Show World Center Inc.,Nightclub,,(212) 489-7576,,
Lace 2,Nightclub,,(212) 765-5047,laceclubs.com,
Flash Dancers,Nightclub,,(212) 315-5107,http://flashdancersnyc.com/,
Snapple Theater (Jerry Orbach Theater),Theater,Broadway - Non-League,(212) 246-3828,http://www.snappletheater.com,
Don't Tell Mama,Live Music,,212-757-0788,,
Private Storefront,Nightclub,,,,
Circle In The Square Theatre,Theater,League,2123070388,,
Ha! Comedy Club,Comedy Club,,2129773884,www.hacomedynyc.com,
American Theatre Wing,Theater,Off-Broadway,212-765-0606 x311,http://americantheatrewing.org/,
Broadway Theatre,Theater,League,(212) 975-6644,,
Nederlander Theatre,Theater,League,(212) 921-8000,http://www.nederlandertheatre.com/,
New Amsterdam Theater,Theater,League,(212) 282-2900,http://www.newyorkcitytheatre.com/theaters/newamsterdamtheater/theater.php,
Vacant (Bare Elegance Gentlemen's Club),Nightclub,,(212) 245-3494,http://www.mentertainment.com/clubs/ny/bare/bare-00.htm,
Mixed Emotions Video Rental,Movies,,,,
Walter Kerr Theatre,Theater,League,(212) 239-2974,,
Longacre Theatre,Theater,League,(212) 239-6200,,
Richard Rodgers Theatre,Theater,League,(212) 221-1211 ,http://www.richardrodgerstheatre.com/,
TSX: Times Square Expositions,Museums / Galleries,,646-619-8608,,
Eugene O'Neill Theatre,Theater,League,(212) 840-8181,,
AMC Theatres,Movies,,(212) 398-2597,,
Minskoff Theatre,Theater,League,(212) 869-0550,www.minskofftheatre.com,
Liberty Theater,Theater,Broadway - Non-League,,,
Madame Tussauds New York,Museums / Galleries,,(212) 512-9600,http://www.nycwax.com,
Nokia Theatre,Live Music,,(212) 930-1950,http://nokiatheatrenyc.com/,
Ethel Barrymore,Theater,League,,,
Architectural History Foundation,Museums / Galleries,,(212) 286-5141,,
Samuel J. Friedman Theatre,Theater,League,,,"261 47th St
"
Henry Miller's Theatre,Theater,League,,,
Belasco,Theater,League,,,
Hollywood Theatre,Movies,,(212) 262-3030,,
Town Hall,Theater,Nonprofit,(212) 997-1003,,
The Cort Theatre,Theater,League,(212) 239-2820,http://www.newyorkcitytheatre.com/theaters/corttheater/theater.php,
The Jam,Live Music,,2126268472,www.thejamnyc.com,
Sage Theater,Theater,Off-Broadway,(212) 302-6665 ,http://www.sagetheater.us/,
Lace,Nightclub,,(212) 764-6969,,
Times Square Art Center,Comedy Club,,(212) 586-7829 ,http://timessquareartscenter.com/,
Majestic Theatre,Theater,League,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/majestictheater/theater.php,
The Times Center,Lecture Hall,,(800) 272-9533,http://thetimescenter.com/,
Lunt-Fontanne Theatre,Theater,League,(212) 575-9200,http://luntfontannetheatre.com/,
John Golden Theatre,Theater,League,,,
Gerald Schoenfeld Theatre,Theater,League,(212) 239-6200,,
Neil Simon Theatre,Theater,League,(212) 757-8646,http://www.neilsimontheatre.com/,
American Airlines Theatre,Theater,League,(212) 719-1300 ,http://roundabouttheatre.org/,
Roseland Ballroom,Live Music,,(212) 247-0200 ,http://roselandballroom.com/,
Winter Garden Theatre,Theater,League,(212) 239-6200,http://www.wintergarden-theater.com/,
Gershwin Theatre,Theater,League,(212) 586-6510,http://www.gershwintheatre.com/,
Booth Theatre,Theater,League,(212) 391-8886,,
Palace Theatre,Theater,League,,,
Duke Theater,Theater,Off-Broadway,(646) 223-3000,http://www.new42.org/duke/duke_home.aspx,
Marriott Marquis Theatre,Theater,League,(212) 382-0100,http://www.marquistheatre.com/,
Ambassador Theatre,Theater,League,,,
American Craftsman,Museums / Galleries,,(212) 399-2555,,
August Wilson Theatre,Theater,League,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,
Broadway Galleries,Museums / Galleries,,(212) 274-8993,http://www.broadwaygallerynyc.com/,
China Club,Nightclub,,(212) 575-5026,http://www.chinaclubnyc.com/,
Crown Art Gallery,Museums / Galleries,,(212) 757-8255,www.sohogallery.com,
Foxwoods Theatre,Theater,League,(212) 556-4750,,
The Duke,Theater,Off-Broadway,,http://www.new42.org/duke/duke_home.aspx,
Carolines on Broadway,Comedy Club,,(212) 757-4100,https://www.carolines.com/,
