Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST
1,NOH,Anthony Davis,University of Kentucky,64,1846,867,522,63,0.516,0,0.751,28.8,13.5,8.2,1
2,CHA,Michael Kidd-Gilchrist,University of Kentucky,78,2025,704,455,117,0.458,0.222,0.749,26,9,5.8,1.5
3,WAS,Bradley Beal,University of Florida,56,1745,780,211,137,0.41,0.386,0.786,31.2,13.9,3.8,2.4
4,CLE,Dion Waiters,Syracuse University,61,1756,894,149,183,0.412,0.31,0.746,28.8,14.7,2.4,3
5,SAC,Thomas Robinson,University of Kansas,70,1056,333,315,46,0.43,0,0.523,15.1,4.8,4.5,0.7
6,POR,Damian Lillard,Weber State University,82,3166,1562,257,531,0.429,0.368,0.844,38.6,19,3.1,6.5
7,GSW,Harrison Barnes,University of North Carolina,81,2058,748,333,98,0.439,0.359,0.758,25.4,9.2,4.1,1.2
8,TOR,Terrence Ross,University of Washington,73,1239,467,144,53,0.407,0.332,0.714,17,6.4,2,0.7
9,DET,Andre Drummond,University of Connecticut,60,1243,476,457,30,0.608,0.5,0.371,20.7,7.9,7.6,0.5
10,NOH,Austin Rivers,Duke University,61,1418,377,109,127,0.372,0.326,0.546,23.2,6.2,1.8,2.1
11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,69,1206,377,255,33,0.545,0.429,0.809,17.5,5.5,3.7,0.5
12,HOU,Jeremy Lamb,University of Connecticut,23,147,71,18,5,0.353,0.3,1,6.4,3.1,0.8,0.2
13,PHO,Kendall Marshall,University of North Carolina,48,702,143,42,143,0.371,0.315,0.571,14.6,3,0.9,3
14,MIL,John Henson,University of North Carolina,63,827,380,297,31,0.482,0,0.533,13.1,6,4.7,0.5
15,PHI,Maurice Harkless,St. John's University,76,1974,625,335,50,0.461,0.274,0.57,26,8.2,4.4,0.7
16,HOU,Royce White,Iowa State University,0,0,0,0,0,0,0,0,0,0,0,0X
17,DAL,Tyler Zeller,University of North Carolina,77,2033,610,438,96,0.438,0,0.764,26.4,7.9,5.7,1.2
18,HOU,Terrence Jones,University of Kentucky,19,276,104,65,15,0.457,0.263,0.765,14.5,5.5,3.4,0.8
19,ORL,Andrew Nicholson,St. Bonaventure University,75,1249,587,258,44,0.527,0,0.798,16.7,7.8,3.4,0.6
20,DEN,Evan Fournier,,38,428,202,35,44,0.493,0.407,0.769,11.3,5.3,0.9,1.2
21,BOS,Jared Sullinger,Ohio State University,45,892,270,264,35,0.493,0.2,0.746,19.8,6,5.9,0.8
22,BOS,Fab Melo,Syracuse University,6,36,7,3,0,0.5,0,0.25,6,1.2,0.5,0
23,ATL,John Jenkins,Vanderbilt University,61,902,374,94,56,0.446,0.384,0.843,14.8,6.1,1.5,0.9
24,CLE,Jared Cunningham,Oregon State University,8,26,16,3,1,0.429,0.667,1,3.3,2,0.4,0.1
25,MEM,Tony Wroten,University of Washington,35,272,91,28,43,0.384,0.25,0.724,7.8,2.6,0.8,1.2
26,IND,Miles Plumlee,Duke University,14,55,13,22,2,0.238,0,0.75,3.9,0.9,1.6,0.1
27,MIA,Arnett Moultrie,Mississippi State University,47,542,174,145,10,0.582,0,0.643,11.5,3.7,3.1,0.2
28,OKC,Perry Jones,Baylor University,38,280,88,62,10,0.394,0,0.667,7.4,2.3,1.6,0.3
29,CHI,Marquis Teague,University of Kentucky,48,392,99,44,63,0.381,0.174,0.563,8.2,2.1,0.9,1.3
30,GSW,Festus Ezeli,Vanderbilt University,78,1120,191,313,22,0.438,,0.531,14.4,2.4,4,0.3
